"","X","subject","type","item","condition","question","correct_answer","response","rt","group","proficiency1","proficiency2","ambiguity","trimmed_rt"
"2786",2786,16,"gap",19,"b","!","{Yes}",0,1813,"Non-Native",89,-0.5,-0.5,1813
"2811",2811,16,"gap",15,"b","!","{No}",1,6571,"Non-Native",89,-0.5,-0.5,6571
"2818",2818,16,"gap",21,"b","!","{Yes}",0,2436,"Non-Native",89,-0.5,-0.5,2436
"2832",2832,16,"gap",13,"b","!","{Yes}",0,3361,"Non-Native",89,-0.5,-0.5,3361
"2839",2839,16,"gap",24,"a","!","{Yes}",0,2449,"Non-Native",89,-0.5,0.5,2449
"2846",2846,16,"gap",17,"b","!","{No}",1,5213,"Non-Native",89,-0.5,-0.5,5213
"2853",2853,16,"gap",18,"a","!","{Yes}",0,2098,"Non-Native",89,-0.5,0.5,2098
"2856",2856,16,"gap",20,"a","!","{Yes}",0,2386,"Non-Native",89,-0.5,0.5,2386
"2902",2902,17,"gap",22,"b","!","{Yes}",0,1678,"Non-Native",82,-0.5,-0.5,1678
"2933",2933,17,"gap",16,"b","!","{No}",1,2317,"Non-Native",82,-0.5,-0.5,2317
"2953",2953,17,"gap",14,"b","!","{Yes}",0,1554,"Non-Native",82,-0.5,-0.5,1554
"2957",2957,17,"gap",15,"a","!","{No}",1,2204,"Non-Native",82,-0.5,0.5,2204
"2985",2985,17,"gap",13,"a","!","{Yes}",0,2160,"Non-Native",82,-0.5,0.5,2160
"2992",2992,17,"gap",19,"a","!","{No}",1,1826,"Non-Native",82,-0.5,0.5,1826
"2998",2998,17,"gap",17,"a","!","{No}",1,1772,"Non-Native",82,-0.5,0.5,1772
"3013",3013,17,"gap",23,"a","!","{No}",1,2117,"Non-Native",82,-0.5,0.5,2117
"3035",3035,17,"gap",20,"b","!","{No}",1,2742,"Non-Native",82,-0.5,-0.5,2742
"3038",3038,17,"gap",21,"a","!","{Yes}",0,1997,"Non-Native",82,-0.5,0.5,1997
"3042",3042,17,"gap",24,"b","!","{No}",1,3864,"Non-Native",82,-0.5,-0.5,3864
"3059",3059,17,"gap",18,"b","!","{No}",1,2783,"Non-Native",82,-0.5,-0.5,2783
"3087",3087,18,"gap",15,"b","!","{No}",1,2714,"Non-Native",89,-0.5,-0.5,2714
"3095",3095,18,"gap",13,"b","!","{No}",1,4549,"Non-Native",89,-0.5,-0.5,4549
"3125",3125,18,"gap",14,"a","!","{Yes}",0,2142,"Non-Native",89,-0.5,0.5,2142
"3132",3132,18,"gap",23,"b","!","{No}",1,2416,"Non-Native",89,-0.5,-0.5,2416
